RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands
RAL 1000,190-189-127,#BEBD7F,Grünbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige
RAL 1001,194-176-120,#C2B078,Beige,Beige,Beige,Beige,Beige,Beige
RAL 1002,198-166-100,#C6A664,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel
RAL 1003,229-190-001,#E5BE01,Signalgelb,Signal yellow,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel
RAL 1004,205-164-052,#CDA434,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel
RAL 1005,169-131-007,#A98307,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel
RAL 1006,228-160-016,#E4A010,Maisgelb,Maize yellow,Jaune maïs,Amarillo maiz,Giallo polenta,Maisgeel
RAL 1007,220-156-000,#DC9D00,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel
RAL 1011,138-102-066,#8A6642,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige
RAL 1012,199-180-070,#C7B446,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limón,Giallo limone,Citroengeel
RAL 1013,234-230-202,#EAE6CA,Perlweiß,Oyster white,Blanc perlé,Blanco perla,Bianco perla,Parelwit
RAL 1014,225-204-079,#E1CC4F,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig
RAL 1015,230-214-144,#E6D690,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig
RAL 1016,237-255-033,#EDFF21,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel
RAL 1017,245-208-051,#F5D033,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel
RAL 1018,248-243-053,#F8F32B,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel
RAL 1019,158-151-100,#9E9764,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige
RAL 1020,153-153-080,#999950,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel
RAL 1021,243-218-011,#F3DA0B,Rapsgelb,Rape yellow,Jaune colza,Amarillo colza,Giallo navone,Koolzaadgeel
RAL 1023,250-210-001,#FAD201,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel
RAL 1024,174-160-075,#AEA04B,Ockergelb,Ochre yellow,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel
RAL 1026,255-255-000,#FFFF00,Leuchtgelb,Luminous yellow,Jaune brillant,Amarillo brillante,Giallo brillante,Briljantgeel
RAL 1027,157-145-001,#9D9101,Currygelb,Curry,Jaune curry,Amarillo curry,Giallo curry,Kerriegeel
RAL 1028,244-169-000,#F4A900,Melonengelb,Melon yellow,Jaune melon,Amarillo melón,Giallo melone,Meloengeel
RAL 1032,214-174-001,#D6AE01,Ginstergelb,Broom yellow,Jaune genêt,Amarillo retama,Giallo scopa,Bremgeel
RAL 1033,243-165-005,#F3A505,Dahliengelb,Dahlia yellow,Jaune dahlia,Amarillo dalia,Giallo dahlien,Dahliageel
RAL 1034,239-169-074,#EFA94A,Pastellgelb,Pastel yellow,Jaune pastel,Amarillo pastel,Giallo pastello,Pastelgeel
RAL 1035,106-093-077,#6A5D4D,Perlbeige,Pearl beige,Beige nacré,Beige perlado,Beige perlato,Parelmoergrijs
RAL 1036,112-083-053,#705335,Perlgold,Pearl gold,Or nacré,Oro perlado,Oro perlato,Parelmoergoud
RAL 1037,243-159-024,#F39F18,Sonnengelb,Sun yellow,Jaune soleil,Amarillo sol,Giallo sole,Zonnegeel
RAL 2000,237-118-014,#ED760E,Gelborange,Yellow orange,Orangé jaune,Amarillo naranja,Arancio giallastro,Geeloranje
RAL 2001,201-060-032,#C93C20,Rotorange,Red orange,Orangé rouge,Rojo anaranjado,Arancio rossastro,Roodoranje
RAL 2002,203-040-033,#CB2821,Blutorange,Vermilion,Orangé sang,Naranja sanguineo,Arancio sanguigno,Vermiljoen
RAL 2003,255-117-020,#FF7514,Pastellorange,Pastel orange,Orangé pastel,Naranja pálido,Arancio pastello,Pasteloranje
RAL 2004,244-070-017,#F44611,Reinorange,Pure orange,Orangé pur,Naranja puro,Arancio puro,Zuiver oranje
RAL 2005,255-035-001,#FF2301,Leuchtorange,Luminous orange,Orangé brillant,Naranja brillante,Arancio brillante,Briljant oranje
RAL 2007,255-164-032,#FFA420,Leuchthellorange,Luminous bright orange,Orangé clair rillant,Naranja claro brillante,Arancio chiaro brillante,Briljant lichtoranje
RAL 2008,247-094-037,#F75E25,Hellrotorange,Bright red orange,Orangé rouge clair,Rojo claro anaranjado,Rosso arancio chiaro,Licht roodoranje
RAL 2009,245-064-033,#F54021,Verkehrsorange,Traffic orange,Orangé signalisation,Naranja tráfico,Arancio traffico,Verkeersoranje
RAL 2010,216-075-032,#D84B20,Signalorange,Signal orange,Orangé de sécurité,Naranja señales,Arancio segnale,Signaaloranje
RAL 2011,236-124-038,#EC7C26,Tieforange,Deep orange,Orangé foncé,Naranja intenso,Arancio profondo,Dieporanje
RAL 2012,235-106-014,#E55137,Lachsorange,Salmon range,Orangé saumon,Naranja salmón,Arancio salmone,Zalmoranje
RAL 2013,195-088-049,#C35831,Perlorange,Pearl orange,Orangé nacré,Naranja perlado,Arancio perlato,Parelmoeroranje
RAL 3000,175-043-030,#AF2B1E,Feuerrot,Flame red,Rouge feu,Rojo vivo,Rosso fuoco,Vuurrood
RAL 3001,165-032-025,#A52019,Signalrot,Signal red,Rouge de sécurité,Rojo señales,Rosso  segnale,Signaalrood
RAL 3002,162-035-029,#A2231D,Karminrot,Carmine red,Rouge carmin,Rojo carmin,Rosso carminio,Karmijnrood
RAL 3003,155-017-030,#9B111E,Rubinrot,Ruby red,Rouge rubis,Rojo rubí,Rosso rubino,Robijnrood
RAL 3004,117-021-030,#75151E,Purpurrot,Purple red,Rouge pourpre,Rojo purpura,Rosso porpora,Purperrood
RAL 3005,094-033-041,#5E2129,Weinrot,Wine red,Rouge vin,Rojo vino,Rosso vino,Wijnrood
RAL 3007,065-034-039,#412227,Schwarzrot,Black red,Rouge noir,Rojo negruzco,Rosso nerastro,Zwartrood
RAL 3009,100-036-036,#642424,Oxidrot,Oxide red,Rouge oxyde,Rojo óxido,Rosso  ossido,Oxyderood
RAL 3011,120-031-025,#781F19,Braunrot,Brown red,Rouge brun,Rojo pardo,Rosso marrone,Bruinrood
RAL 3012,193-135-107,#C1876B,Beigerot,Beige red,Rouge beige,Rojo beige,Rosso beige,Beigerood
RAL 3013,161-035-018,#A12312,Tomatenrot,Tomato red,Rouge tomate,Rojo tomate,Rosso pomodoro,Tomaatrood
RAL 3014,211-110-112,#D36E70,Altrosa,Antique pink,Vieux rose,Rojo viejo,Rosa antico,Oudroze
RAL 3015,234-137-154,#EA899A,Hellrosa,Light pink,Rose clair,Rosa claro,Rosa chiaro,Lichtroze
RAL 3016,179-040-033,#B32821,Korallenrot,Coral red,Rouge corail,Rojo coral,Rosso corallo,Koraalrood
RAL 3017,230-050-068,#E63244,Rosé,Rose,Rosé,Rosa,Rosato,Bleekrood
RAL 3018,213-048-050,#D53032,Erdbeerrot,Strawberry red,Rouge fraise,Rojo fresa,Rosso fragola,Aardbeirood
RAL 3020,204-006-005,#CC0605,Verkehrsrot,Traffic red,Rouge signalisation,Rojo tráfico,Rosso traffico,Verkeersrood
RAL 3022,217-080-048,#D95030,Lachsrot,Salmon pink,Rouge saumon,Rojo salmón,Rosso salmone,Zalmrood
RAL 3024,248-000-000,#F80000,Leuchtrot,Luminous red,Rouge brillant,Rojo brillante,Rosso brillante,Briljantrood
RAL 3026,254-000-000,#FE0000,Leuchthellrot,"Luminous bright red",Rouge clair brillant,Rojo claro brillante,Rosso chiaro brillante,Briljant lichtrood
RAL 3027,197-029-052,#C51D34,Himbeerrot,Raspberry red,Rouge framboise,Rojo frambuesa,Rosso lampone,Framboosrood
RAL 3028,203-050-052,#CB3234,Reinrot,Pure  red,Rouge puro,Rojo puro,Rosso puro,Zuiverrood
RAL 3031,179-036-040,#B32428,Orientrot,Orient red,Rouge oriental,Rojo oriente,Rosso oriente,Oriëntrood
RAL 3032,114-020-034,#721422,Perlrubinrot,Pearl ruby red,Rouge rubis nacré,Rojo rubí perlado,Rosso rubino perlato,"Parelmoer-donkerrood"
RAL 3033,180-076-067,#B44C43,Perlrosa,Pearl pink,Rose nacré,Rosa perlado,Rosa perlato,"Parelmoer-lichtrood"
RAL 4001,222-076-138,#6D3F5B,Rotlila,Red lilac,Lilas rouge,Rojo lila,Lilla rossastro,Roodlila
RAL 4002,146-043-062,#922B3E,Rotviolett,Red violet,Violet rouge,Rojo violeta,Viola rossastro,Roodpaars
RAL 4003,222-076-138,#DE4C8A,Erikaviolett,Heather violet,Violet bruyère,Violeta érica,Viola erica,Heidepaars
RAL 4004,110-028-052,#641C34,Bordeauxviolett,Claret violet,Violet bordeaux,Burdeos,Viola bordeaux,Bordeauxpaars
RAL 4005,108-070-117,#6C4675,Blaulila,Blue lilac,Lilas bleu,Lila azulado,Lilla bluastro,Blauwlila
RAL 4006,160-052-114,#A03472,Verkehrspurpur,Traffic purple,Pourpre signalisation,Púrpurá tráfico,Porpora traffico,Verkeerspurper
RAL 4007,074-025-044,#4A192C,Purpurviolett,Purple violet,Violet pourpre,Violeta púrpura,Porpora violetto,Purperviolet
RAL 4008,144-070-132,#924E7D,Signalviolett,Signal violet,Violet de sécurité,Violeta señales,Violetto segnale,Signaalviolet
RAL 4009,164-125-144,#A18594,Pastellviolett,Pastel violet,Violet pastel,Violeta pastel,Violetto pastello,Pastelviolet
RAL 4010,215-045-109,#CF3476,Telemagenta,Telemagenta,Telemagenta,Magenta tele,Tele Magenta,Telemagenta
RAL 4011,134-115-161,#8673A1,Perlviolett,Pearl violet,Violet nacré,Violeta perlado,Violetto perlato,"Parelmoer-donkerviolet"
RAL 4012,108-104-129,#6C6874,Perlbrombeer,Pearl black berry,Mûre nacré,Morado perlado,Mora perlato,"Parelmoer-lichtviolet"
RAL 5000,042-046-075,#354D73,Violettblau,Violet blue,Bleu violet,Azul violeta,Blu violaceo,Paarsblauw
RAL 5001,031-052-056,#1F3438,Grünblau,Green blue,Bleu vert,Azul verdoso,Blu verdastro,Groenblauw
RAL 5002,032-033-079,#20214F,Ultramarinblau,Ultramarine blue,Bleu outremer,Azul ultramar,Blu oltremare,Ultramarijnblauw
RAL 5003,029-030-051,#1D1E33,Saphirblau,Saphire blue,Bleu saphir,Azul zafiro,Blu zaffiro,Saffierblauw
RAL 5004,032-033-079,#18171C,Schwarzblau,Black blue,Bleu noir,Azul negruzco,Blu nerastro,Zwartblauw
RAL 5005,030-045-110,#1E2460,Signalblau,Signal blue,Bleu de sécurité,Azul señales,Blu segnale,Signaalblauw
